5 5
55 55
0 61
1 61
2 61
3 61
4 61
5 61
6 61
7 61
8 61
9 61
10 61
11 61
12 61
13 61
14 61
15 61
16 61
17 61
18 61
19 61
20 61
21 61
22 61
23 61
24 61
25 61
26 61
27 61
28 61
29 61
30 61
31 61
32 61
33 61
34 61
35 61
36 61
37 61
38 61
39 61
40 61
41 61
42 61
43 61
44 61
45 61
46 61
47 61
48 61
49 61
50 61
51 61
52 61
53 61
54 61
55 61
56 61
57 61
58 61
59 61
60 61
0 60
45 60
60 60
0 59
45 59
60 59
0 58
45 58
60 58
0 57
45 57
60 57
0 56
45 56
60 56
0 55
45 55
60 55
0 54
45 54
60 54
0 53
45 53
60 53
0 52
45 52
60 52
0 51
45 51
60 51
0 50
45 50
60 50
0 49
45 49
60 49
0 48
45 48
60 48
0 47
45 47
60 47
0 46
45 46
60 46
0 45
45 45
60 45
0 44
45 44
60 44
0 43
45 43
60 43
0 42
45 42
60 42
0 41
20 41
45 41
60 41
0 40
20 40
45 40
60 40
0 39
20 39
45 39
60 39
0 38
20 38
45 38
60 38
0 37
20 37
45 37
60 37
0 36
20 36
45 36
60 36
0 35
20 35
45 35
60 35
0 34
20 34
45 34
60 34
0 33
20 33
45 33
60 33
0 32
20 32
45 32
60 32
0 31
20 31
45 31
60 31
0 30
20 30
45 30
60 30
0 29
20 29
45 29
60 29
0 28
20 28
45 28
60 28
0 27
20 27
45 27
60 27
0 26
20 26
45 26
60 26
0 25
20 25
45 25
60 25
0 24
20 24
45 24
60 24
0 23
20 23
45 23
60 23
0 22
20 22
45 22
60 22
0 21
20 21
34 21
35 21
36 21
37 21
38 21
39 21
40 21
41 21
42 21
43 21
44 21
45 21
60 21
0 20
20 20
60 20
0 19
20 19
60 19
0 18
20 18
60 18
0 17
20 17
60 17
0 16
20 16
60 16
0 15
20 15
60 15
0 14
20 14
60 14
0 13
20 13
60 13
0 12
20 12
60 12
0 11
20 11
60 11
0 10
20 10
60 10
0 9
20 9
60 9
0 8
20 8
60 8
0 7
20 7
60 7
0 6
20 6
60 6
0 5
20 5
60 5
0 4
20 4
60 4
0 3
20 3
60 3
0 2
20 2
60 2
0 1
1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 1
10 1
11 1
12 1
13 1
14 1
15 1
16 1
17 1
18 1
19 1
20 1
21 1
22 1
23 1
24 1
25 1
26 1
27 1
28 1
29 1
30 1
31 1
32 1
33 1
34 1
35 1
36 1
37 1
38 1
39 1
40 1
41 1
42 1
43 1
44 1
45 1
46 1
47 1
48 1
49 1
50 1
51 1
52 1
53 1
54 1
55 1
56 1
57 1
58 1
59 1
60 1
